"aus","nzl","xoc","chn","hkg","jpn","kor","mng","twn","xea","brn","khm","idn","lao","mys","phl","sgp","tha","vnm","xse","bgd","ind","npl","pak","lka","xsa","can","usa","mex","xna","arg","bol","bra","chl","col","ecu","pry","per","ury","ven","xsm","cri","gtm","hnd","nic","pan","slv","xca","dom","jam","pri","tto","xcb","aut","bel","cyp","cze","dnk","est","fin","fra","deu","grc","hun","irl","ita","lva","ltu","lux","mlt","nld","pol","prt","svk","svn","esp","swe","gbr","che","nor","xef","alb","bgr","blr","hrv","rou","rus","ukr","xee","xer","kaz","kgz","tjk","xsu","arm","aze","geo","bhr","irn","isr","jor","kwt","omn","qat","sau","tur","are","xws","egy","mar","tun","xnf","ben","bfa","cmr","civ","gha","gin","nga","sen","tgo","xwf","xcf","xac","eth","ken","mdg","mwi","mus","moz","rwa","tza","uga","zmb","zwe","xec","bwa","nam","zaf","xsc","xtw"
"pdr",0.000174082854250186,0,4.66063735284276e-05,0.164691570646676,0,0.0143201836890422,0.00731521469344926,0,0.00114649453311409,0.00297490926406657,4.33162659233422e-06,0.0244505871995058,0.14112270263764,0.00790424543021136,0.00937857244171403,0.0293288635958736,0,0.0898281373806679,0.0569190197988637,0.0396405213709203,0.0576043421134491,0.220090179430824,0.00543011372406845,0.0060992166161292,0.0073659362273472,0.000609842247810133,0,0.0118763142753977,0.000610242690957086,0,0.00172130946959991,0.0016252628769634,0.0353861559407344,0.000195103351193409,0.00395266811339756,0.00345005249514196,0.000404497465188751,0.00431750405604859,0.00160171427580577,0.00253742424024618,0.00319129481221419,0.000629070904670044,0.00012338715274709,0.000164281515832052,0.000882905161267121,0.00257259135735087,5.27651634225806e-05,5.57380033601458e-05,0.00250059065793631,3.2773533645771e-07,0,1.39633795371099e-05,0.00264800309354577,0,0,0,0,0,0,0,0.000202275177454303,0,0.000183762402356869,2.06907354207747e-05,0,0.00183933979917664,0,0,0,0,0,0,0.00022445677904075,0,0,0.00066261846414072,0,0,0,0,0,0,5.22734379810132e-05,0,0,6.13539380424105e-05,0.00181762133237486,0.0001808658802306,0,2.03781678133572e-05,0.000583851406742007,4.36900316190502e-05,5.81904793393866e-05,0.00023003721318123,0,8.99644566588534e-06,0,0,0.00195498175181788,0,0,0,0,0,0,0.000571317329833945,0,0.000350360762032454,0.00211718569144613,1.63400376201825e-05,0,1.4243571311225e-06,0.000237030654286585,0.000324664904052483,0.00087912922700006,0,0.00109238924417103,0.00740328650860597,0.0160966252131102,0.000470524255980539,0.000410400222081427,0.00641410368274038,0.001307950240043,0.0046161269258199,6.4462145607903e-05,0.000227231958971679,0.017341774618255,0.000474306142946727,0,0.00259103190561995,0.000121433272123041,0.0046487786715704,0.00175082221537751,0.000211845367601256,1.99317709631258e-06,0.00148578938524032,0,0,1.97590356830266e-05,4.07708829633636e-07,0
"wht",0.104211995999798,0.000551547352093496,7.33223839835103e-08,0.135089344282644,0,0.0017949447218124,1.48421298910499e-05,0.00164308238306746,3.08533951460066e-07,0.000407940934393771,0,0,0,0,0,0,0,1.05582048275205e-05,0,0.000484179583361478,0.00217344042584077,0.140316887453341,0.00265055864247501,0.0207995070895906,0,0.00763482826910522,0.082292388460627,0.220407237764974,0.00594923190233134,0,0.0584371155997928,0.00173446777001685,0.0226842449295179,0.00205258765232784,0.000179907176632374,9.78386158081931e-05,0.00308188544905715,0.00184807725469026,0.00270220434563381,8.62718166203658e-07,0,0,1.34653773614475e-05,3.62226256914122e-05,0,0,0,0,0,0,0,0,0,0.00272022346431689,0.00207831528835886,8.72603282248979e-06,0.00767871622202802,0.00485138019039891,0.000813219403249874,0.00167597938360305,0.0504734280824268,0.0270281749042243,0.00523367013076185,0.00878600414990787,0.00154590050837581,0.0166168489022072,0.00200864023494285,0.00280124830767648,0.000142579495935612,2.44258621218769e-06,0.00143320542316017,0.0149815994492169,0.000457949230374595,0.00294503128579266,0.00035989675582352,0.0117649632297051,0.00423988471608661,0.0152801184618061,0.00112926663925578,0.00106102722391145,0,0.00114582173658624,0.00863941841555376,0.00417583725390206,0.00154631101423703,0.0143441456326772,0.272070128162264,0.0510136072519606,0.00240275748184167,0.00589484078178574,0.0847252561980421,0.00253381467057644,0.000947438387829847,0.00726897904304912,0.000800754280669711,0.00416601095592697,0.00028560920883355,0,0.0229245932213368,0.000264975327284239,6.60780968726324e-05,4.84247375602805e-07,5.03518380924077e-07,2.04613301244111e-08,0.00120720588607545,0.0484299351988493,6.05005908197538e-09,0.00973448262821315,0.00343107831649351,0.00933887616785494,0.00341658884526761,0.0106929612462461,0,0,7.21146609128777e-06,0,0,0,0.000170751634247599,0,0,5.29924762015856e-05,5.22655117987577e-05,0.000116138819715609,0.0155757134865514,0.00143842234659012,6.13491708388542e-05,1.63705878123666e-05,0,6.08223452023464e-05,0.000222780080973214,0.000627931416477604,0.000161840708984476,0.000329453658797229,0.000365589866887119,0.00176046284313408,3.33418205663151e-07,3.78646979490611e-05,0.00948914175659026,0.00011957335519099,0
"gro",0.0555899958580088,0.00104152896911809,4.04672902876264e-05,0.188708725941552,0,0.000863893113678398,0.000623315568023039,7.22020410935507e-05,9.23750650671437e-05,0.00341133467420439,0,0.00135307224564685,0.0421745508472378,0.00171265546785402,9.20246353465216e-05,0.0181784442237374,0,0.0100631816260618,0.00866766093503669,0.00418237631766296,0.000970068015628708,0.145000883642776,0.00442338548306236,0.00474766086283731,0.000359226851948284,0.00137743074401217,0.0719094941702233,0.428972783462177,0.0814607462565209,0,0.043438684945277,0.00603876385938182,0.181153603095898,0.00220796217041814,0.00610197224021293,0.00396788401411261,0.00709074425583853,0.00862912593656122,0.00283586046192233,0.0110109084081376,9.9585770660971e-05,0.000120496926228912,0.0114807348118179,0.00774716294718977,0.00524201688839749,0.0012326203052296,0.00405443769100287,0.000302528408757614,0.000367278017624626,2.08558850473088e-05,4.52593472775183e-06,9.59902351313694e-06,0.00855686332746562,0.00485174420638004,0.00119412909713086,5.69725604311566e-05,0.00730768909844109,0.00534933689693375,0.00157552881993851,0.00768419175433796,0.037358704887937,0.0323355732425774,0.00301043877760019,0.0130482719277467,0.00357242386875663,0.0126602509935526,0.00265881007056326,0.0051245622594183,0.000180427747637573,4.79793720251152e-07,0.000740148229246286,0.0442704220052207,0.00192148618941229,0.00345970836227001,0.000765870181197229,0.0282688896847588,0.0073083616160228,0.00879552007952691,0.000829790212372171,0.00257182344020092,0,0.00101231369813637,0.00348560523202091,0.0197344788474906,0.00336896952459435,0.0216280596687893,0.192780738989637,0.0612439900386325,0.00420394505507736,0.0138365399361375,0.0157937149701349,0.00145222921973511,0.000268365438098905,0.000349814078817677,0.000604064941606836,0.00203873955431267,0.000974010095211823,0,0.00625963629945607,5.27482898319033e-05,9.55745190170777e-05,4.87394983544223e-06,1.03351208316771e-05,1.73921306057494e-06,0.000343222046809983,0.0249179481779111,4.65854549312104e-08,0.0101222734808309,0.00320713995202672,0.0082604336849229,0.00212799281700078,0.00694356023043245,0.00755889415408352,0.0262751257189576,0.0173085488285323,0,0.0116458140143659,0.00872226127629061,0.111205285489023,0.00579170411133013,0.00938811482575613,0.0740052293131519,0.0307607740526934,0.0347455559593202,0.0742136196982616,0.0264763548340193,0.00353878377177401,0.0108949323721938,4.39273101957324e-07,0.0150538882160819,0.00249671825054363,0.0320942196320319,0.023466902802749,0.0113971758164021,0.0165555643186774,0.0388693962724657,0.000203831052304597,0.00382021077311231,0.0416516568437351,0.00262281638283503,0
"v_f",0.0195676530320088,0.00170579944055873,0.00203606928382428,0.232540653677924,1.38297794438478e-06,0.00650916973524619,0.00423623486287135,0.000305133206439639,0.00158920108480839,0.00530391544818413,2.1923465070279e-05,0.00193445499209683,0.0346837063493777,0.00168004431846612,0.0019378527094186,0.0150056212103442,5.58096841500609e-07,0.0167252909975322,0.0145838857993733,0.0218947554583777,0.00926605743774827,0.200359728901049,0.002866144936258,0.00728011845137896,0.00218015434834564,0.00111109945352167,0.0280236332159422,0.04738981414525,0.0314870916227302,5.36517628324927e-06,0.0110442230880072,0.00396545786608793,0.0947256315855673,0.00479710420772337,0.012969414831464,0.00523941341661852,0.00185424527310132,0.0129691229203658,0.000659655118733158,0.00393790744703682,0.00046674630146948,0.0025814512746177,0.00806401166390231,0.00309223562078813,0.00351214175662059,0.00218013543560988,0.00147247901258602,0.000485204348129985,0.00347271686071971,0.000712183783183351,0.000252078957664302,0.000120000592612229,0.0138006056666828,0.00129700294888964,0.00166972630244504,5.72663440215487e-05,0.0010883121430952,0.000447780701197446,0.000232548057092147,0.000396560215652334,0.0158152326656531,0.00611518808715132,0.00350370104383515,0.00240281344409571,0.000422142701100964,0.0171627649546029,0.000589839083060644,0.00105016002546328,2.90687260901622e-05,7.27628985566339e-06,0.00273689002479303,0.00953198201684046,0.00395524665587739,0.000757784347752697,0.000357492951024948,0.0199310271217511,0.000795028369037511,0.00367681399148601,0.000683634193430801,0.000336099551693225,0.00039515512773785,0.00144421790799343,0.00189216663977209,0.00682504192452998,0.00105562040377786,0.00697042332845377,0.0519152015026452,0.0223856842777147,0.00269020638987071,0.00904648231609251,0.00284143244688459,0.00169771776397786,0.000725172702485139,0.00225462065069714,0.00104233956857867,0.00264818692426069,0.00121715958313304,2.99521043354e-06,0.0121420710411212,0.000476927826853824,0.000180629379548411,2.11107643394043e-05,8.221318183501e-05,6.0974763770745e-06,0.00092100956264392,0.0235840480805365,0.00011742559672206,0.0048362164104103,0.00448587916450487,0.00413327424505616,0.00301121435524022,0.00799085168087022,0.00490030053802275,0.00531791565283676,0.0153019455110134,0,0.00964857588455912,0.00500543640916505,0.0589604670646199,0.00149212409271844,0.00279227174959636,0.0362512010783659,0.00478229432958632,0.0169549728110288,0.0198871214334105,0.022937462503434,0.00558411059494511,0.00800172287087884,2.83168457021008e-05,0.0103746105325647,0.00812571084357617,0.0254042160426403,0.0464534035300652,0.00203555233851773,0.00111692201853552,0.032541079445921,4.18314816280131e-05,0.000473076964920351,0.00829197841984981,0.000808932540695911,0
"osd",0.0113125500992165,3.12794751211936e-05,0.00469038624372625,0.152089200129615,0,0.00126213630932477,0.00107802515633976,0.000112683638070309,0.000123951311185143,0.00162666447589516,6.39354478573316e-07,0.00166258275749968,0.101620861909821,0.000405168825728448,0.0636770914084399,0.0236456566414895,8.08055272442966e-09,0.00831399692819717,0.00493028610323148,0.0169519327598264,0.00210206551381122,0.195199087855932,0.00152511308907498,0.00927860967786253,0.00376741753943854,0.000300854973764497,0.0791900510881495,0.344041656784831,0.00496655099855754,0,0.199849617782146,0.0118540988860969,0.275230663649666,0.000216258596257339,0.0024639083136052,0.00174597433487204,0.0269279741111369,0.0015475236594795,0.00456816842919768,0.0018126559239145,0.000409341078104494,0.000718455101189867,0.00194920565664501,0.00161515941466212,0.000572327977022232,0.000315898705568974,0.000172582672979087,7.01040871779911e-06,0.000912548937645862,0.000874889480673856,4.83806815725196e-06,1.96268034098607e-05,0.00170246036156764,0.00110146506811267,0.000261212490956482,1.93402028776121e-05,0.00427646017927381,0.0012630351394069,0.000602550625981846,0.000740375887623261,0.0214409568422651,0.0143035893772115,0.00842667203285758,0.00628194288089873,0.000150372291443436,0.0112987993631882,0.000907733676966604,0.00138956451584967,6.11054982581195e-05,5.23411331183075e-09,7.78025801144091e-05,0.00589256439613252,0.00304517174015182,0.00190848393364423,7.37653556645772e-05,0.0206737417497697,0.00108227026757006,0.00578112844763048,0.000325203660869376,7.21193749739737e-05,0,0.000460513075239172,0.00531835977047537,0.0026937986981023,0.000858989041180235,0.00890125937095487,0.0735081956150803,0.0417089834731041,0.00228136928178411,0.00271310401402299,0.00572322011514364,0.000767861592336773,0.000897175804084607,0.0069424902782299,2.03443668869337e-07,0.000785990890915624,0.000148389568455881,0,0.00190578582681029,0.000118436876496838,0.000191527809398695,4.11610269262384e-08,0,0,1.14308984012611e-05,0.0118086642917113,0,0.00303366175119322,0.00126738727642608,0.00214846439981048,0.00766261350112731,0.00276503875908821,0.00376594511186512,0.00711593158172858,0.0090902848051926,0,0.00747973246010202,0.00543438853851097,0.0509491221868794,0.00399019356441032,0.00199645295073321,0.00871787177765823,0.0139412677735261,0.0126843920548412,0.00914132403083246,0.00387974717285144,0.00160029993790605,0.00334157581509465,2.60309986345081e-06,0.00849622331232559,0.000544147307631391,0.0178091943957223,0.0144317479783141,0.00448816540444929,0.00599293926623138,0.00886498607644144,9.69413432965612e-06,1.38096661156559e-05,0.00899309386837155,9.31359857694336e-05,0
"c_b",0.00360941913107002,0,0.000417091048454562,0.0102605485263707,0,0.00075923508261688,0,0,4.6910383505564e-05,0,0,9.96509122885548e-05,0.00584116513882517,9.1817272086144e-05,0.000211784821552099,0.0026285878915229,0,0.00850623371657193,0.00231706862516117,0.000952323078263562,0.000934214419431004,0.0258133551370699,0.000241489693128732,0.00249954402952625,0.000127618879112935,2.0438810881225e-05,0.000131803827805696,0.00918985736409511,0.00593875570678826,0,0.00334569824321663,0.00121979083554904,0.0866734531855416,0.000187483877335637,0.00375939007578951,0.000844136430447856,0.000789733146320895,0.000868925200040912,5.71505753980766e-05,0.0015726137073884,0.000920812561113786,0.000748196580937452,0.00346150074367061,0.00134338308029147,0.000694574794178014,0.000818988983270815,0.000788817337774447,0.000364646334398412,0.00162633565398899,0.000458829471040793,0,9.59902351313694e-05,0.00488496952826638,0.000392468481502495,0.000859399908054923,0,0.000513857322109581,0.000277503454561145,0,0.000132357700580695,0.00378775059361033,0.00363766448013717,0.000112057076336574,0.00032573874640272,1.83380843223703e-05,0.000682533510425654,6.27096408166485e-05,0.000133505630004886,0,0,0.000840472608867498,0.00175518878234693,2.47792675073794e-05,0.00015396385606849,0,0.000444818485734046,0.000479689148489066,0.00104372393864796,0.000256527342734577,0,0,3.26026955921538e-05,1.01958217177003e-05,0.000917543427526532,0.000303140385412653,0.000215762865942171,0.0114359640262413,0.00494595321768038,0.000242677076940341,0.000645045510804514,8.28347533592779e-05,6.15703699353489e-05,0,5.21767716060137e-05,1.46479441585923e-05,5.43879909545182e-05,0,0,0.000701379183247456,0,0,0,6.49701136676229e-08,0,0,0.00182037163562662,0,8.63988229269569e-05,0.000737090981051351,0.000233117870047936,0,0,1.26410580731046e-05,3.64441040469432e-05,0.00186725461292273,0,5.71616514438157e-05,4.97450064665304e-05,0.000413744344523029,4.21826706228195e-05,0,0.000220345385984753,0.000415801182754561,0.000571899790479168,0.000211351297075092,0.000817424755610521,0.00111791822417468,0.000187792279144355,0.000265430771857713,0.000228978240761774,2.91342738849015e-05,0.000266605704298628,0.000514947710405151,0.000419842181868715,0.000261687236482663,0.000337068708938827,0,0,0.00461514619167835,0.000665495478070428,0
"pfb",0,8.43552613098741e-05,0,0.00150283407372147,0,8.55958379500429e-09,1.00076601962473e-07,0,5.31559922086914e-06,9.68859719185206e-05,0,4.39272045945915e-06,4.49821726326645e-05,6.62430939947343e-06,3.01455208734291e-05,0.000967314798015039,0,4.15087318976683e-05,0.00020138121997822,0.000168258301200898,0.00242426307708956,0.00481180988962857,4.42323082464192e-05,3.85292804445786e-06,0,2.71694162771571e-07,0.000306587164678466,0,0.000199322951982967,0,4.53969430376457e-05,0,0.00361504968894696,0.000169600523987103,0.000158940275540464,0.000223995059661836,0,1.9181007182443e-06,0,3.73885041888543e-05,0,1.48441136609477e-05,9.62959048494461e-06,0,6.88994635153152e-05,0,7.6194144861814e-05,0,1.17259109060126e-05,9.25107472455626e-06,0,0,0.000407745415726724,4.34528623948823e-06,0.000148644920522402,0,6.66572487636389e-06,0,0,0,0.000739960637729375,0,0,2.65651016483772e-06,0,1.46356070042012e-05,3.57727557425262e-06,3.15989656816297e-06,0,0,3.68538537384043e-05,1.51377867920413e-05,0,3.26592471906432e-07,0,6.52408274642564e-08,0,9.94209674998499e-05,0,0,0,0,3.97033555985213e-07,0.000641581749706076,0,1.23193367187036e-05,0.00100913873285215,0.000115719875976924,0,0,0,0,0,6.56311592528475e-06,0,0,0,0,0,0,0,0,0,0,0,3.4108860937431e-07,0,0,3.15659000632197e-05,1.2019005449512e-05,0,0,0,0,2.44674742382978e-06,0,0,1.4228949019483e-05,6.56737054798458e-06,0,0,1.16084285217055e-05,3.61212759320303e-05,0.000103762045004673,0.00266513985611691,0.00044356970784257,0.000335511798743156,3.67419676586781e-06,4.27071071347398e-07,5.72445601904436e-05,0,0.000348936878357349,4.41383751775844e-08,0,2.58009787965481e-05,0,0,0,8.55824493869692e-05,0,0
"ocr",2.97940667437526e-05,2.06534333336111e-05,0.00316868014921757,0.040193137559001,1.06223742361724e-07,0.0011574012420091,0.000288120537049961,0,0.000133850843399133,0.000392770630896002,1.32634086580034e-05,0.00150363488334732,0.0867403944198205,0.000950338629781506,0.0183462798221337,0.00432338447927604,5.38703514961978e-10,0.0267277250575409,0.0143224534893279,0.00239812145220403,0.0019424619938184,0.0226291198934004,0.000355642696041331,0.000414428602672473,0.00397810142750061,0.000125405380721087,0.000295125962260579,0.00212280480809557,0.00784470079938383,1.45441525750733e-07,0.0035252890517283,0.000843142461521189,0.0677764929313528,3.6188018780969e-05,0.0100337924266409,0.00499194436791901,0.00329285013893714,0.00716102443415516,9.22693175663626e-05,0.00366125438776745,0.000183817477071052,0.0016101536562541,0.00748962264079284,0.00449512476134203,0.00204311322518643,0.00109196807423474,0.00200397719600334,2.01155196613508e-06,0.00528506080003969,0.000415091700684437,0.000372156687993,6.5516535151664e-05,0.00857310103719195,3.73248946212451e-06,2.74478974735358e-06,2.77278894302683e-07,7.76784188717179e-05,5.63458790987097e-07,1.48749679790429e-06,0,0.000131641695225214,0.000189851909448153,0.000135331684411864,8.97520934263028e-05,6.6017103560533e-07,0.000256558235214187,0,1.57994828408149e-05,0,0,1.63794905504019e-06,0.00014089349637466,3.32142302851439e-05,8.05866924429122e-06,3.10135749946547e-05,0.000119097130536,0,1.00197498110204e-05,7.05263943239302e-06,0,0,4.7273908608623e-05,0.000485024132662656,0,5.30469173097966e-05,0.000285036377589463,7.74862393476748e-05,3.78875445791114e-05,2.24699582306943e-05,0.000282869152099308,3.39555686552589e-05,4.45972641265092e-05,1.34417606959573e-06,3.92539963491281e-05,9.60254117063271e-07,2.56931666268365e-05,6.64852438914981e-05,0,0.000134097699451299,2.83483499155083e-06,2.22806685023327e-08,7.99008169744628e-08,4.23929991681239e-07,0,0,0.00166244760948631,1.33101299803458e-08,0.000406049089512365,0.000172642649188292,0.000114569081553777,8.92267279317417e-05,4.880066663092e-05,0.00322837568128196,0.000128155091154086,0.0161512244194428,0,0.0294823050786165,0.00270647562823949,0.0700850739506325,0.00036996545617914,0.00446730671960137,0.00420272126621252,0.00858542333201837,0.0348903005591218,0.0135141295294918,0.00637202210718868,0.0108509369114607,0.00259720804497494,4.80760006031071e-06,0.00831193160636249,0.00297422899951717,0.0122622794263676,0.0195078965284039,0.00432551154582366,0.00101264428838231,0.0128014586024752,3.97476178426184e-05,0.000623352984387246,0.000506482941258005,0.000108921962016811,0
"ctl",0.18823697854013,0.0662122106778412,0.00262939652025016,0.6614882583404,0.000461915838104921,0.0256100319235057,0.00987113503497074,0.0251897604748645,0.0021753648271109,0.00157084289842379,4.93176103862995e-05,0.0077334901071155,0.054684172213123,0.003911206922142,0.00232409473195245,0.0150427873003416,2.27107375e-06,0.011037321959153,0.014505758461987,0.00959044141831326,0.0131975521134661,0.220513289108666,0.0119656291072494,0.0870964088941541,0.00305117511586535,0.0250107891801727,0.0336465527411632,0.446546032056746,0.12917664860024,3.6029675e-06,0.18101234986349,0.059653887342165,0.8994355867766,0.01606767988563,0.16288519599397,0.0180818939424555,0.063805324709338,0.021288854926113,0.051354482475741,0.064741551754952,0.00541019983841618,0.0116647173510665,0.013832330005626,0.0140792845684475,0.0190882429909485,0.0109228523421015,0.0054449941399515,0.00022826927180054,0.007997912796559,0.00105919337914825,0.00081866974767631,3.64927603074755e-05,0.0170762431628869,0.00672586185575596,0.00545387358080677,0.000456069375305542,0.00401231185637485,0.00444693731426882,0.00109928339806113,0.00244190994332429,0.0356490609722932,0.0342607415118344,0.0084242543756846,0.0044433132820034,0.012367163347961,0.025036486901463,0.00207493735341295,0.0034648410860835,0.000377917371511808,4.60808725e-05,0.0113429559055138,0.020604447251964,0.0068041998225312,0.0021157859433842,0.00209309092965985,0.0261653703918064,0.00411809425095236,0.0313587952336828,0.00443016294009752,0.00231574591374418,0.00170115796862624,0.003084279266145,0.0064439755412985,0.0137505346040677,0.00207920240555745,0.018901359300153,0.21794778607277,0.036401942680168,0.00150908677190595,0.0141262883173861,0.073692898393415,0.0101430107355309,0.00345583286680875,0.0374990990379106,0.0041943038877888,0.0080713920026119,0.0050618696304881,0.00026382512875,0.040415440200479,0.00507802910395518,0.0014120046110852,0.000954595271610108,0.0010672130899614,0.000226591480990767,0.006334300912796,0.0593764089060385,0.0011857645333213,0.0265764182164551,0.028756069867281,0.0123366668480724,0.0057947569590029,0.0263776998110349,0.00302900813151995,0.020488144914064,0.0110546907423175,0.040743221146131,0.025686977129479,0.025875139455408,0.100479278505295,0.006539832526852,0.0038337222140695,0.0925342067304067,0.0936814217564389,0.166123370620723,0.08496512486037,0.05130433308833,0.173312829766085,0.0042247165841194,5.8041949375e-05,0.078758992992095,0.00399419206076065,0.06555981345887,0.034368108475398,0.035662508051223,0.011825730100256,0.158398014315849,0.00557224955902857,0.00384719730483794,0.12257865524892,0.0119577553174862,0
"oap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
