"aus","nzl","xoc","chn","hkg","jpn","kor","mng","twn","xea","brn","khm","idn","lao","mys","phl","sgp","tha","vnm","xse","bgd","ind","npl","pak","lka","xsa","can","usa","mex","xna","arg","bol","bra","chl","col","ecu","pry","per","ury","ven","xsm","cri","gtm","hnd","nic","pan","slv","xca","dom","jam","pri","tto","xcb","aut","bel","cyp","cze","dnk","est","fin","fra","deu","grc","hun","irl","ita","lva","ltu","lux","mlt","nld","pol","prt","svk","svn","esp","swe","gbr","che","nor","xef","alb","bgr","blr","hrv","rou","rus","ukr","xee","xer","kaz","kgz","tjk","xsu","arm","aze","geo","bhr","irn","isr","jor","kwt","omn","qat","sau","tur","are","xws","egy","mar","tun","xnf","ben","bfa","cmr","civ","gha","gin","nga","sen","tgo","xwf","xcf","xac","eth","ken","mdg","mwi","mus","moz","rwa","tza","uga","zmb","zwe","xec","bwa","nam","zaf","xsc","xtw"
"pdr",0.000143831367981331,0,1.45278481973538e-05,0.0267500019986443,0,0.00397858921269025,0.00195900897912919,0,7.7905823348179e-06,0.00136941385191774,3.80845803535628e-06,0.0152748540354541,0.0663663814621987,0.00487894980684201,0.0002364711216793,0.0115592229468446,0,0.0450352283867557,0.0231601659502282,0.0134747928924424,0.0128636976891096,0.102053547860569,0.00181794521610451,-0.00210801418977315,0.00445066450746856,0.000105803487817701,0,0.00610691892244899,0.000288053125371812,0,0.000957014335933595,0.001158167005051,0.0208295942994626,6.39213972263605e-05,0.00182309648365029,0.0016945489637431,0.000263483744816041,0.00300313132170621,0.000918201525935026,0.00149842081998446,0.00207570064027243,0.000265992605030629,8.77899025800611e-05,0.000122401360756164,0.000687496675336104,0.00212925439317245,3.66778469425137e-05,3.45070832210304e-05,0.00189840745737473,1.96929744745445e-07,0,4.21020977370676e-06,0.00215798666971587,0,0,0,0,0,0,0,6.64647919986142e-05,0,8.4032577720229e-05,1.1225895006246e-05,0,0.000741139647767662,0,0,0,0,0,0,0.000167850309900286,0,0,0.000304354954145873,0,0,0,0,0,0,3.76584783403441e-05,0,0,4.64653215359256e-05,0.00142164516233637,0.000129199642178021,0,1.29598273417147e-05,0.00042011542232088,2.60665077420525e-05,1.08226807393867e-05,-4.95334521802983e-06,0,5.47378878425553e-06,0,0,0.000158710433067137,0,0,0,0,0,0,0.0002993679678899,0,0.000122695176813928,-0.00393769761910179,1.1318071792785e-05,0,9.56801997885747e-07,0.000182771485055437,0.000268235232777686,0.000725177410543233,0,0.000867299617657868,0.00562026076100627,0.0110815873209626,0.000375909252946643,0.000360477345456514,0.00536637195338668,0.00114832089018701,0.00388463959154676,5.2250093359484e-05,0.000193379808328769,0.0133053074823174,0.000293433992879634,0,0.00223856792338578,9.93285958822569e-05,0.00372752785585195,0.00155057743673901,0.000178260566386429,1.63801828441174e-06,0.00117898833941126,0,0,1.39087780371646e-05,2.86844349567384e-07,0
"wht",0.0861024137573845,0.000283308021499448,2.2855596420322e-08,0.0219418651201577,0,0.000498691068679705,3.9747111936449e-06,0.00147838601571554,2.09652910023702e-09,0.000187783867249605,0,0,0,0,0,0,0,5.29334326221779e-06,0,0.000164584606430809,0.000485353700043001,0.0650634945475451,0.0008873792795046,-0.00718873567618433,0,0.00132459084732353,0.0617987960042802,0.113335593833177,0.00280821854718248,0,0.0324898911946435,0.001235986726228,0.0133527817958769,0.000672485991982302,8.29789225131801e-05,4.8055015181736e-05,0.00200749519859841,0.00128546924714938,0.00154907038728928,5.09459491051822e-07,0,0,9.58060981590417e-06,2.69884207747553e-05,0,0,0,0,0,0,0,0,0,0.000882860590823576,0.00028631804301173,-4.10208626999911e-06,0.00380381336587873,0.000407951472755731,0.000499525369823135,0.000840784156043716,0.0165848619745415,0.00730880360487752,0.00239330127591166,0.00476690451574168,0.000879997454425048,0.00669555758425017,0.00128071739315043,0.00166593664952414,7.33449082975822e-05,-5.39669025844786e-06,0.000198898938850862,0.00700396891792489,0.000342457557154102,0.00163297206346097,0.000190692333029014,0.00540390139738746,0.00214988169056798,0.00308192127106348,0.000486408460216727,0.000670335356242572,0,0.000906517766235299,0.00622395166343323,0.00278758129594707,0.000755617655967652,0.0108632853936738,0.212798548646407,0.0364410346205714,0.0017562970703382,0.0037489198949852,0.0609648043626512,0.00151173385049023,0.00017621135464305,-0.000156521469221938,0.00048221516062951,0.00253476371586518,0.000199883397402131,0,0.0018610772784263,-8.19947270206765e-05,1.4048397300692e-05,-7.76377606997814e-07,-2.81146518665178e-07,-2.22940609021514e-08,-0.0010150822351588,0.0253770899785817,-5.93598775757375e-09,0.00340898352981116,-0.00638137172964736,0.0064686552986364,0.00230166119103591,0.0071829223585663,0,0,5.9486047621757e-06,0,0,0,0.000117552537880468,0,0,4.43362552423229e-05,4.58867449214706e-05,9.77350632755042e-05,0.0126249673531362,0.0012241316711708,4.70695531319454e-05,1.01278193820672e-05,0,5.25485428024832e-05,0.000182227096797519,0.00050349393073905,0.000143330687429656,0.000277223884950919,0.000300446401709426,0.00139694440183806,2.38752196979629e-07,3.53631837616937e-05,0.00667959553152588,8.41260693965594e-05,0
"gro",0.0459297682403746,0.00053499216423613,1.2614211442525e-05,0.0306509846027752,0,0.00024001618258768,0.000166923439127715,6.49647814125712e-05,6.27700812610964e-07,0.00157030972769805,0,0.000845295897519286,0.0198336077555968,0.00105714835626629,2.32030715524797e-06,0.00716456977346111,0,0.00504516397692366,0.00352684333576256,0.00142169307389854,0.000216627101935233,0.0672354153053611,0.00148090314246575,-0.0016408888381871,0.000217052951688626,0.000238974878285559,0.0540015941221928,0.22058207182742,0.038451951825116,0,0.0241510576458953,0.00430324051103516,0.106633680829676,0.00072339109550284,0.00281442403341618,0.00194889027162199,0.00461880731240025,0.00600217117172821,0.00162569032617628,0.00650225301075177,6.47731595125119e-05,5.09502046078943e-05,0.0081685375522273,0.00577218491035345,0.00408183046257971,0.00102020174814174,0.00281829971562114,0.00018729362999015,0.000278831453431014,1.25318928474374e-05,4.04717699353614e-06,2.8942780295876e-06,0.00697340461582514,0.00157465510196428,0.000164508584481354,-2.67826585878758e-05,0.00362001728708175,0.000449824540589398,0.0009677789453887,0.00385490820606618,0.0122755475039704,0.00874399973799909,0.00137664139838245,0.00707942601821482,0.00203358747448504,0.00510129447871021,0.00169526839262521,0.00304763988873747,9.28145840184007e-05,-1.0600641579094e-06,0.00010271709484941,0.020696632609824,0.0014369004747387,0.00191835215149119,0.000405798522178034,0.0129845108299492,0.0037057877462384,0.0017740111433636,0.000357415127191622,0.00162482558706142,0,0.000800892776827601,0.00251107625981529,0.0131737567284556,0.00164627479967638,0.016379629063318,0.150782674088756,0.0437490011297714,0.00307287624318868,0.00879957267117728,0.0113645067187888,0.000866434351193154,4.99125199002136e-05,-7.53247646564879e-06,0.000363768611519599,0.0012404487417439,0.000681660257839845,0,0.000508173330521191,-1.63225824453268e-05,2.03194232055818e-05,-7.814240614433e-06,-5.77075902666622e-06,-1.89499517668287e-06,-0.000288599158147149,0.0130569039664441,-4.57071057333178e-08,0.00354478660020278,-0.00596487469391304,0.00572166256031259,0.00143356976900457,0.00466428829943944,0.00582857231726798,0.0217082732858254,0.014277501229902,0,0.00924616394373148,0.00662157039868653,0.0765583509203833,0.00462708380727594,0.0082461035085845,0.061916614796656,0.0270065621470961,0.0292396557717929,0.0601541962528782,0.0225320084649064,0.00271509734345896,0.00674025322182151,-8.16040169334105e-07,0.0130060734526899,0.00204223697347812,0.0257340919286692,0.0207829496773002,0.00959033015091291,0.0136055732894571,0.0308432442851115,0.000145958171221034,0.00356783027187259,0.029319429308856,0.00184528762853883,0
"v_f",0.0161672573436385,0.000876201585857018,0.000634670823651443,0.0377703784487897,-2.43267663392703e-06,0.00180844834497738,0.00113446050209526,0.000274547807206502,1.07988320399166e-05,0.00244150481222251,1.92755757981353e-05,0.00120849930520409,0.0163108560358009,0.00103701890021488,4.88609760913397e-05,0.00591408257122763,-1.07553762169985e-06,0.00838520447904683,0.00593413619043744,0.0074425684887369,0.00206921487644749,0.0929047413001939,0.000959555313259349,-0.002516158051864,0.00131729834192166,0.000192768208363837,0.02104479921906,0.0243683137734477,0.0148628656847508,4.73159425480305e-06,0.00614037162470755,0.00282579669142741,0.0557589945342556,0.00157166753785872,0.00598190738405308,0.00257342245900734,0.00120782830650422,0.00902094792537469,0.000378155046602759,0.00232544578562052,0.000303583859785363,0.00109152552470274,0.00573754059978627,0.00230393447397996,0.00273481896687568,0.00180443075062004,0.00102354198009707,0.000300387272790235,0.002636429743036,0.000427937286683886,0.000225413802757226,3.61823344072177e-05,0.0112467856005516,0.000420948059884551,0.000230028990287988,-2.69207655211196e-05,0.000539118279208955,3.76537787919836e-05,0.000142844174347514,0.000198941317238024,0.00519666408286698,0.00165363399098362,0.00160220494779311,0.0013036622862584,0.000240302982216662,0.00691552783170761,0.000376083859963683,0.000624543018728541,1.4953363633529e-05,-1.60763548020406e-05,0.000379823096456431,0.00445624687794328,0.00295776041943719,0.00042017912542314,0.000189418670130505,0.00915475069591852,0.000403128162327363,0.000741594463317084,0.00029446141754203,0.00021234084068709,0.00038552720044679,0.00114259413144994,0.00136314195454411,0.00455605859521857,0.000515837634053087,0.00527892701808708,0.0406052645583343,0.0159909784803157,0.00196640802779378,0.00575325760098938,0.00204457774467032,0.00101289863153253,0.000134872795842442,-4.85482947048379e-05,0.000627698102434472,0.00161126031579315,0.000851828250394332,-4.17850755686e-06,0.000985724471073123,-0.000147581917804352,3.84023361472529e-05,-3.38461817770697e-05,-4.59048780282472e-05,-6.64363014884113e-06,-0.000774433306062254,0.0123579457156324,-0.000115211586386749,0.00169362694653218,-0.00834316790304011,0.00286294901714508,0.00202857163481835,0.00536779904843104,0.00377856277386593,0.00439361423186099,0.0126222913323181,0,0.00766046189146742,0.00379991478236599,0.0405908415963596,0.00119208148329908,0.00245260761064599,0.030329635809755,0.00419863716031456,0.014268229559919,0.0161195992120327,0.0195203268172997,0.00428435440527524,0.0049503417293543,-5.26043672120744e-05,0.00896332858944968,0.00664657580683365,0.0203698497272261,0.0411404417540591,0.001712847049157,0.000917900718409783,0.0258216632853323,2.99544475135568e-05,0.000441823348661296,0.00583688845856593,0.000569126081199462,0
"osd",0.00934669622195672,1.60670270222318e-05,0.00146205795853755,0.0247030639847841,0,0.000350660439437427,0.000288694324021399,0.000101388656125745,8.42265590812365e-07,0.000748788170657799,5.6213402735886e-07,0.00103865435768282,0.0477896806110754,0.000250093241850836,0.00160555279859598,0.00931933199355086,-1.55724559126426e-08,0.0041682123373152,0.00200611754623407,0.00576238089625226,0.000469414879161639,0.0905118052352997,0.00051059189276517,-0.00320687755384459,0.00227635849810125,5.2196294477612e-05,0.0594690457320551,0.176909641763385,0.0023443632486761,0,0.111112471421434,0.00844726499268855,0.16201090257433,7.08524561491361e-05,0.00113643302541514,0.000857563473032816,0.0175404892977536,0.00107641283309359,0.00261875621999274,0.0010704246191004,0.000266246018593872,0.000303787287799097,0.00138685893057375,0.00120340812045393,0.000445657810902272,0.000261459599756593,0.000119964773230437,4.34010446114225e-06,0.000692792202093564,0.000525703953597966,4.32629264826276e-06,5.91783381116344e-06,0.00138741785269712,0.000357485373375265,3.59858052528388e-05,-9.09178114466608e-06,0.00211843437343145,0.000106208341758702,0.000370120687083827,0.000371422418390486,0.00704519830217111,0.00386789437219871,0.00385342683509773,0.00340830955411072,8.55988033960308e-05,0.00455271406837352,0.000578774779184186,0.000826391022705289,3.14335321275352e-05,-1.15643362681026e-08,1.07973709661897e-05,0.00275480184991465,0.00227720019180744,0.00105822337516062,3.90847862360029e-05,0.00949589554591482,0.000548777428703901,0.00116602386153207,0.000140074811777459,4.55635499501611e-05,0,0.000364335280923989,0.00383141694822809,0.00179824605445524,0.000419752093739544,0.00674121159851534,0.0574941374349486,0.0297943743367376,0.001667568290282,0.00172544263566247,0.00411819344433195,0.000458124414191174,0.000166863160519424,-0.00014949125206884,1.22514014387579e-07,0.000478227544855356,0.000103850331728216,0,0.000154716581689326,-3.66494475431766e-05,4.07193743147659e-05,-6.59920965948142e-08,0,0,-9.61170089780368e-06,0.00618769228220531,0,0.00106237828345009,-0.00235718004378448,0.00148815289698374,0.00516209029420721,0.00185739555840339,0.0029038749557711,0.00587911887127321,0.00749840750787554,0,0.00593851425894668,0.00412555702491739,0.0350754980603294,0.00318782860361618,0.00175359568851876,0.00729382387857793,0.0122397997491898,0.0106743797046234,0.00740954291136305,0.00330175723540544,0.00122781452339714,0.00206729756406164,-4.83579359605395e-06,0.00734046266880833,0.000445095376869789,0.0142799373535054,0.0127811622398523,0.00377663630832382,0.00492507369948054,0.00703445274074101,6.94172012718273e-06,1.28973367539482e-05,0.00633041756131931,6.55260061042993e-05,0
"c_b",0.00298218738126667,0,0.000130013021346255,0.00166656795189866,0,0.000210938949889794,0,0,3.1876227448318e-07,0,0,6.22542570158922e-05,0.00274694989921184,5.66748421294243e-05,5.33993788695654e-06,0.0010359908209251,0,0.00426459001942283,0.000942807765601597,0.000323718150077319,0.000208620590522493,0.0119693867338176,8.08482206212428e-05,-0.000863893613529018,7.71102000098934e-05,3.54599486317196e-06,9.89802097072999e-05,0.00472551605910751,0.00280327346400015,0,0.00186014266406749,0.000869226461036244,0.0510191858480467,6.14250412584117e-05,0.00173395049399947,0.000414611231419642,0.000514420644640843,0.000604399312794376,3.27622387658247e-05,0.000928672897329577,0.000598920292590788,0.000316362998449194,0.00246285619128057,0.00100091550903745,0.000540848420326735,0.000677851880986237,0.000548318619782971,0.000225750487078386,0.00123468738233034,0.000275701642643623,0,2.8942780295876e-05,0.00398099955006145,0.000127377386455247,0.000118394788902818,0,0.000254550017669339,2.33352032906153e-05,0,6.63995384832155e-05,0.00124460182665672,0.000983676306667902,5.12425004004242e-05,0.000176731705868298,1.04388784629306e-05,0.000275018594026473,3.99839285875814e-05,7.93974319711164e-05,0,0,0.00011664002056897,0.000820559094395687,1.85301052077408e-05,8.53704600543486e-05,0,0.000204314725827005,0.000243231829768393,0.000210513748023462,0.000110493895281673,0,0,2.57936482070081e-05,7.34520525429163e-06,0.000612506364897745,0.000148132054512759,0.000163404196395442,0.00894459293857239,0.00353308974107669,0.000177384959776246,0.000410227186474301,5.96044763933513e-05,3.67343411099984e-05,0,-1.12351196814086e-06,8.82100903590567e-06,3.30917771241534e-05,0,0,5.6939761107217e-05,0,0,0,-3.62769701503455e-08,0,0,0.000953867367405692,0,3.0256581227998e-05,-0.00137089600259144,0.000161471157577066,0,0,9.74736775564862e-06,3.01097920051925e-05,0.00154026373306335,0,4.53833454571729e-05,3.77642966505275e-05,0.000284838841787288,3.37004012005158e-05,0,0.000184352383106714,0.000365054548486366,0.000481274584558369,0.000171311781506505,0.000695647932969037,0.000857711857071005,0.000116179474208252,-0.000493092272320133,0.000197829808197584,2.3830919371951e-05,0.000213772317314143,0.000456052187276179,0.000353282707949984,0.000215057898743062,0.000267467301467502,0,0,0.00324869315582346,0.000468210653467287,0
"pfb",0,4.3329955431856e-05,0,0.000244097583852216,0,2.37811668421414e-09,2.68004385463609e-08,0,3.61202013555121e-08,4.45986684717812e-05,0,2.74423527293233e-06,2.11539601505736e-05,4.08890049662316e-06,7.60088508016441e-07,0.000381242436260332,0,2.08103526975548e-05,8.19413702209977e-05,5.71951549249683e-05,0.000541365220023402,0.00223118665329416,1.48085136444601e-05,-1.33165084978514e-06,0,4.71370918367269e-08,0.000230236574753937,0,9.40865005478073e-05,0,2.52398107730657e-05,0,0.00212795135248027,5.5565946957167e-05,7.33083196299928e-05,0.000110018788632351,0,1.33417554919879e-06,0,2.20789697741754e-05,0,6.27659685535324e-06,6.85144921280394e-06,0,5.36503286844976e-05,0,5.29636790997104e-05,0,8.90211944039537e-06,5.55878961304188e-06,0,0,0.000332291595096966,1.41028192242857e-06,2.04779914703007e-05,0,3.3020068257304e-06,0,0,0,0.000243140708082956,0,0,1.44130711581913e-06,0,5.89724020804376e-06,2.28088582929729e-06,1.87922915907968e-06,0,0,5.11454414187931e-06,7.07698724271879e-06,0,1.81090226556395e-07,0,2.99665193861934e-08,0,2.00526975817229e-05,0,0,0,0,2.86028241989549e-07,0.00042828807172273,0,9.32983211848952e-06,0.000789293772103261,8.26632781707717e-05,0,0,0,0,0,-1.41322260143504e-07,0,0,0,0,0,0,0,0,0,0,0,1.78729050435872e-07,0,0,-5.87085818810936e-05,8.32507058535965e-06,0,0,0,0,2.01827661573818e-06,0,0,1.0802013909849e-05,4.52125145694108e-06,0,0,9.7122136346819e-06,3.17128392679497e-05,8.7319554813458e-05,0.00216024156479703,0.000377488384429829,0.000257418156128261,2.2730766692919e-06,-7.93372386852602e-07,4.94574520493959e-05,0,0.000279787881054716,3.90901874808154e-08,0,2.12035724786582e-05,0,0,0,6.02431875469897e-05,0,0
"ocr",2.46165620154775e-05,1.06088503783157e-05,0.000987721221556156,0.00652836393394834,-1.86848978366465e-07,0.000321561803689383,7.7158462574973e-05,0,9.09534224514255e-07,0.00018080065468626,1.16614703975596e-05,0.000939355900876344,0.0407917790451384,0.000586603049607354,0.000462582700634276,0.00170395163513634,-1.03816372750951e-09,0.0133999127369618,0.00582776022495524,0.000815180748936307,0.000433773617479283,0.0104928896693892,0.000119065450700439,-0.000143235013619809,0.00240365844666882,2.17569817752747e-05,0.00022162959999678,0.00109156734577828,0.00370293756296407,1.2826610931695e-07,0.00195999163450713,0.000600825745380827,0.0398957392593001,1.18562224030699e-05,0.00462790478883954,0.00245187404180999,0.00214491451836497,0.00498100210087511,5.289447029733e-05,0.00216207432516604,0.00011955963873639,0.000680827808673271,0.00532886307332454,0.00334918621106151,0.00159092234508518,0.000903788241620556,0.00139299424286145,1.2453404663663e-06,0.00401233156799617,0.00024942047307214,0.000332789595130561,1.97544123112785e-05,0.00698663751620262,1.21139601029121e-06,3.78134556071861e-07,-1.30348116769406e-07,3.84796363612106e-05,4.73811234327213e-08,9.13704696560911e-07,0,4.32556184184561e-05,5.13386614184841e-05,6.1885729303127e-05,4.86955904130319e-05,3.75799624665501e-07,0.000103377026998302,0,9.3961457953984e-06,0,0,2.27313072972414e-07,6.58683789198129e-05,2.48378278895677e-05,4.46840134027905e-06,1.64326320690732e-05,5.47038811394961e-05,0,2.02093198102524e-06,3.03777988964135e-06,0,0,3.74007899001617e-05,0.000349417820979273,0,2.59218145281828e-05,0.000215867267150396,6.0605548226225e-05,2.70645695936897e-05,1.64244298933331e-05,0.000179895239114744,2.44330285086617e-05,2.660778414546e-05,2.49999460803748e-07,-8.452484379183e-07,5.78266147909371e-07,1.56327256938028e-05,4.65296496580639e-05,0,1.0886395197005e-05,-8.77219489313175e-07,4.73693550601368e-09,-1.28102305154639e-07,-2.36707230231005e-07,0,0,0.000871115817053883,-1.30591730666622e-08,0.000142197044394598,-0.000321093492843238,7.93572891568784e-05,6.01095730813709e-05,3.27815084506394e-05,0.00248936163704526,0.000105880587271007,0.0133228457681493,0,0.0234073999344078,0.00205464137533135,0.0482494843855527,0.000295571240973635,0.00392388400633574,0.00351621468040705,0.00753761164716143,0.0293614636449489,0.0109539408427873,0.00542274255492557,0.00832527554165275,0.00160678738470757,-8.93110629771214e-06,0.00718124058411681,0.0024328257419844,0.0098322573233165,0.0172767422811459,0.00363976869921886,0.000832203953699858,0.010158082006578,2.84622462824341e-05,0.000582171450699052,0.000356523411495194,7.66322607641115e-05,0
"ctl",0.113904583481224,0.0416868879515928,0.00153517747754473,0.40857078265765,0.000332034845695057,0.0182328041613335,0.00707699915820816,0.0156203249236615,0.0011185036236467,0.00111447420202711,3.51206389296901e-05,0.0040554745557745,0.028190158335967,0.001990923235406,0.00134799819646775,0.0096614231171814,1.6351731e-06,0.007094133007625,0.009676374147268,0.00654288408546033,0.0091335593366759,0.153287919326669,0.0076890141291996,0.0622320186756451,0.00172502103040185,0.0147185233509984,0.0194368440434688,0.240001932244324,0.07370391118688,2.5941366e-06,0.100364893484795,0.02872236813411,0.4417560301918,0.00905429984317,0.0708100153527,0.0093299595812285,0.026885711472702,0.012158300145136,0.022631698622059,0.028710654905963,0.00219747836684984,0.0064750172154165,0.006921770322644,0.0072789152752325,0.0090818388697625,0.0056232509947215,0.0030962106016965,9.432316538726e-05,0.004102788470356,0.00053507345766435,0.00048575428525929,2.12038922759985e-05,0.00852542062325764,0.00422988738804224,0.00388503392580424,0.000328360913137028,0.00268815181539675,0.0031087023164943,0.00060944222667347,0.0017448755076919,0.0252569381741013,0.0238421550124288,0.0045192262125612,0.0023722081043706,0.00818348278765944,0.0169057473795176,0.00107897020717465,0.0019259057207535,0.000234761177120184,3.31782282e-05,0.00811032292917387,0.012378889844799,0.0037668767466384,0.0011707917537516,0.00122659501052395,0.0151928392827764,0.00274884307673516,0.0190906341701796,0.00304175987279652,0.00159852148113566,0.000917533898754388,0.0018786620207246,0.0031401570024865,0.0075279739261183,0.00125646026063595,0.010255442143413,0.104763169480775,0.020550999027138,0.00081040576393345,0.00786263001139173,0.040196734185265,0.0056165000477831,0.00198502036837865,0.0266902612225214,0.0023556431182512,0.0051151120286681,0.0025146828961019,0.0001899540927,0.028021339450417,0.00365607402090346,0.0010091912600568,0.000687240094140072,0.0007631435789076,0.000163121517860511,0.004462581769064,0.0377859233946045,0.0008532179984142,0.0187207115192936,0.020704350597254,0.0085950050263588,0.0038918350332863,0.017832088022405,0.00175195116569285,0.012626013643933,0.0058328874724965,0.015105118238979,0.010476742539496,0.009906378323667,0.053732655779485,0.004157591209538,0.0018225871851635,0.0542503677034149,0.0422522238695151,0.066546355165617,0.04478763235855,0.02882108332229,0.086326246094235,0.0019883852900676,4.179020355e-05,0.03011257735386,0.00223217869455755,0.029024130982315,0.016624785504492,0.015166085992357,0.00666541287204,0.0833423041245507,0.00378938748119886,0.00262081150869931,0.07107854059514,0.00575800984051275,0
"oap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
