"aus","nzl","xoc","chn","hkg","jpn","kor","mng","twn","xea","brn","khm","idn","lao","mys","phl","sgp","tha","vnm","xse","bgd","ind","npl","pak","lka","xsa","can","usa","mex","xna","arg","bol","bra","chl","col","ecu","pry","per","ury","ven","xsm","cri","gtm","hnd","nic","pan","slv","xca","dom","jam","pri","tto","xcb","aut","bel","cyp","cze","dnk","est","fin","fra","deu","grc","hun","irl","ita","lva","ltu","lux","mlt","nld","pol","prt","svk","svn","esp","swe","gbr","che","nor","xef","alb","bgr","blr","hrv","rou","rus","ukr","xee","xer","kaz","kgz","tjk","xsu","arm","aze","geo","bhr","irn","isr","jor","kwt","omn","qat","sau","tur","are","xws","egy","mar","tun","xnf","ben","bfa","cmr","civ","gha","gin","nga","sen","tgo","xwf","xcf","xac","eth","ken","mdg","mwi","mus","moz","rwa","tza","uga","zmb","zwe","xec","bwa","nam","zaf","xsc","xtw"
"pdr",0.000971060552304921,0,2.3875292504524e-05,0.087224088438338,0,0.00747741170834131,0.00367915686614091,0,0.000540427915907609,0.0018619934586989,4.75498184200195e-06,0.0187522094838066,0.106003048473297,0.00613333663139023,0.00460553028922977,0.0215023223617811,0,0.0775929280739397,0.0443063701678298,0.0294107579709052,0.0332301055963781,0.155373778914311,0.00377894901279185,0.00211150451182,0.00799447536805972,0.000273362834776686,0,0.0075090104535874,0.000200129104495076,0,0.00197702698987241,0.00120209863283526,0.026085629425211,0.000186945345703998,0.00347459819729298,0.00224328735782821,0.000689633131567053,0.00387949225843195,0.00179234112040961,0.00263959412057036,0.00289665376299558,0.000737481778032776,0.000106892830626975,0.00011474498613881,0.00103541933692379,0.00164811809411799,4.59067910989632e-05,4.23250211055145e-05,0.00229873806012383,5.64814886254191e-07,8.1296321991872e-07,1.88869569804951e-05,0.00262798623059697,0,0,0,0,0,0,0,0.000174525094855065,0,0.000139032553632768,1.3728683882341e-05,0,0.0015319450583879,0,0,0,0,0,0,0.000274349429028822,0,0,0.000549611129447307,0,0,0,0,0,0,5.66961285448709e-05,0,0,6.30697964153434e-05,0.0018552809749652,0.00018440406798397,0,2.47346367126062e-05,0.000515526566089339,3.74212241049202e-05,1.17447738700513e-05,1.34453284199264e-05,0,9.33473464341549e-06,0,0,0.0010336744071358,0,0,0,0,0,0,0.000472930948992725,0,0.000188151761959595,-0.000789774459805414,1.20811866426653e-05,0,1.14257584669198e-06,0.000397529680188449,0.000893302940215309,0.0012570580646809,0,0.00164032464359381,0.0102632553940135,0.0125236553646349,0.000542782614298364,0.000490776068344627,0.00724256299395282,0.0015851173956368,0.00408366476487267,0.000273277595572025,0.000316684242226346,0.0160550558550093,0.000413771586481853,-2.3372048548782e-07,0.00169617592052774,0.00011711973114735,0.00830642384954038,0.00152505804923481,0.000332595754232767,2.76097577751571e-06,0.00234872449623118,0,0,1.85224907590815e-05,4.11001020110738e-07,0
"wht",0.173007745060232,0.000493596569066109,3.70487802109661e-08,0.0704314786669636,0,0.00100347244689987,5.62071086887353e-05,0.00187722321567673,3.96412288123219e-06,0.000205438857965027,0,0,0,0,0,0,0,7.92371276760912e-06,0,0.000369476907332871,0.00107723423856794,0.102624363320803,0.00193811299905159,0.00730937624780503,0,0.00260671709703524,0.0771072274805228,0.131141439109192,0.00389369497040966,0,0.0351914951081379,0.00126758685551674,0.0202677730965936,0.00201981493588037,5.46741637398068e-05,4.36478233141201e-05,0.00512718010270003,0.00156948058386737,0.00542640418801564,9.46984558479612e-07,0,0,7.03361466706726e-06,2.90565219534794e-05,0,0,0,0,0,0,0,0,0,0.00210122689218054,0.00133490183315771,5.85697498229511e-07,0.00732435508406348,0.00329553627325323,0.00082492917594593,0.00166714519359561,0.0407177129098868,0.0230604386162798,0.00309320898902827,0.00479523315604624,0.00123921508012683,0.0107676161024816,0.00231611884730025,0.00407864983605803,0.000151229960888912,-1.33454625191616e-06,0.00094918527029472,0.013594692475972,0.000370872672604937,0.00247063068699561,0.000369894195719104,0.008958906643775,0.00427406762902515,0.00935918807835982,0.00101145677705072,0.000740526740820303,0,0.000458574996312304,0.00546939969187566,0.00555544654150346,0.00110115585867785,0.00968544710638462,0.222355060458078,0.0414740946550568,0.00204598974951731,0.00345435691449353,0.0755956203875179,0.0022192529322213,0.000276621782327331,0.000806156550078518,0.000506312434531878,0.00346124975402263,0.000278714998923856,0,0.0124373012640203,4.85473155904937e-05,4.55336697979866e-05,-2.04004667626521e-08,1.93226558966177e-07,3.28020562556123e-09,0.000171088141306571,0.0383684463347453,-1.31261156850635e-09,0.00897252238487026,-0.0017107943272826,0.0146876788789568,0.00344494351670822,0.0108353855078231,0,0,6.61118274334097e-06,0,0,0,0.000711837593381094,0,0,5.50857200964764e-05,3.74004697699092e-05,9.56125900626125e-05,0.0128171374097312,0.00148558279271401,5.82094888010076e-05,8.17339867707295e-06,0,8.48237135205997e-05,4.41446355064709e-05,0.000803590130645978,0.000220286162667251,0.000455289589943007,7.98282126977368e-05,0.00177934180088355,0,4.04552101567771e-05,0.00954863611425111,0.000240329910788182,0
"gro",0.0702162259502574,0.000855067571844105,3.05440729424979e-05,0.106441888546113,0,0.00055513614018685,0.000253918759100054,5.52632350123881e-05,4.36712432803199e-05,0.00220113062105386,0,0.00110078216113762,0.0310269774342099,0.00159181568210587,6.53735623499575e-05,0.0120610863057059,0,0.00880273221216128,0.00649587813121384,0.00345714264613027,0.000544682017113151,0.0972528294735383,0.00306774773588218,0.00150799460759765,0.000409560699049262,0.000486736181286749,0.0449363160723089,0.263141075150883,0.0474575270275648,0,0.0471995505731879,0.00408453119682115,0.135736247521525,0.00203666316097785,0.00425224561571258,0.00420410123231452,0.00770803598621201,0.00732780995487763,0.00222858414668074,0.0111564668621788,4.62542746019312e-05,7.68169240757481e-05,0.00871131791948518,0.00485655932179999,0.00418321707960379,0.000962763543395831,0.00359799757811495,0.000233970436535467,0.000307308777051887,2.75218890029315e-05,9.8615973198836e-06,1.13240855557572e-05,0.00696835965966107,0.0034876331511054,0.00083378766330436,1.40032132223982e-06,0.00525316943012762,0.00330656551111552,0.00108256978785606,0.00519157171375808,0.0287080791616526,0.0230213916325997,0.00180804829507031,0.0083278686740419,0.00267575740231207,0.00906992888278678,0.00157577587265002,0.00380111514389295,0.000162231867088717,-2.60274794828774e-07,0.000347571447020745,0.0333702603074938,0.00182543257166349,0.00257811158212776,0.000826759974621782,0.017375069602344,0.00580758962626192,0.00525896433769627,0.000662095084699817,0.00225751917079738,0,0.000519266505019697,0.00298089115977868,0.0157101617814431,0.00289159175234069,0.0162326852912993,0.13934331904782,0.0517204194744458,0.00379734209182081,0.00955907412543031,0.0116348604391762,0.00118275821278922,7.67721696744808e-05,5.16240776093985e-05,0.000509735311181028,0.00157924236343751,0.000816176377297388,0,0.00362111943714954,1.11501859941677e-05,9.30818787901061e-05,-3.38239738924772e-06,1.06830546986743e-06,8.05141380819574e-08,5.77253223712598e-05,0.0175501147568768,-3.36356714429753e-08,0.0083609926700239,-0.0015442531502818,0.0109002649174628,0.00266690021289969,0.0064010084557013,0.00685125094659891,0.0232600305266627,0.0157255245528794,0,0.0120057842581805,0.00596301763606812,0.0723693238786361,0.00510943596753555,0.00897830544782974,0.068777343004163,0.0288457000317102,0.0334028623659577,0.0724086924132519,0.0284671841575952,0.00388265355640395,0.0121749696486315,-8.37498406331355e-08,0.0182232038266052,0.00281149157243348,0.0333483856161006,0.0270945202044944,0.0141557423134646,0.018340663452271,0.0400293655795748,0.000716630479841427,0.00416516999622401,0.0412542925489878,0.0022747145030186,0
"v_f",0.0345489872186949,0.00129077886156703,0.00171097088965417,0.132023681077681,-5.31921099498114e-07,0.00346664857957167,0.00233251313883573,0.000181118052489009,0.000721160036265943,0.00334474026372585,2.36415088466119e-05,0.00137725847397733,0.0249418252815904,0.00159219842932912,0.0011426406418979,0.0110476862960744,-3.05744060620783e-07,0.0121602773292725,0.0102594286267408,0.0185763020333849,0.00525047486902383,0.161151755880669,0.00223659541595103,0.00238273741656388,0.0018656535817001,0.000469440495492258,0.0236903064647516,0.0290005687921006,0.0182394538984922,4.21937692055908e-06,0.00854254282817347,0.00334820675897388,0.0733016827136506,0.004368438165801,0.00891809590782759,0.0044906471527538,0.00148638811816341,0.0117954205184848,0.000479807889014143,0.00526799154136104,0.00031086219398448,0.00193701623132673,0.00559415876010306,0.00275319297473661,0.0035502906156233,0.00102765600103897,0.00132601928252073,0.000344433516309612,0.00352198748795643,0.000610500708530979,0.00050467342843476,0.000134837504438909,0.0109537308852131,0.000772423582520186,0.00114677129987452,1.5476304362205e-06,0.000849554655882316,0.000302514347782124,0.000180059998300571,0.000298901895956732,0.0122997458563363,0.00459421840363365,0.00216189414891579,0.00135217730038285,0.000286519155468815,0.012803288312259,0.000364367983273063,0.000895053082694948,2.70205075114894e-05,-4.79109759578927e-06,0.00171659748596669,0.00716694949453381,0.00350341847061284,0.000414228714308804,0.00036405868304098,0.0135996775334155,0.000803889984299983,0.0023905009798684,0.000627435181712385,0.000256563602178911,0.000322905792608997,0.000643286267382145,0.000832213192415825,0.00539765245721589,0.000876017167757963,0.00443221239743027,0.045146003029877,0.0165835139026029,0.00218963516102617,0.00588150635265628,0.00304368630013637,0.00145149603525298,0.000212387327659148,0.000261722820936468,0.000808573266236004,0.00165132196693976,0.000994458689429536,-2.47494984408999e-07,0.00659368374960633,0.000128051353123424,0.000222911621586752,-1.45931338908838e-05,1.6241849236398e-05,1.41078661950274e-06,0.000303447246984989,0.0170936059797342,-8.50933264573456e-06,0.00493280432042543,-0.00203904098780238,0.00593966309276674,0.00315792288599797,0.00966674285538244,0.00515051613869695,0.00752994566348984,0.0164993634929875,0,0.00903662056008932,0.00364589434645016,0.0462090605464303,0.000944292700794147,0.00283142656816399,0.0281402400508584,0.00530872953762596,0.0265434100685539,0.0192690440947358,0.0220134521046022,0.00617875785199248,0.00775751652547218,-1.5121715411062e-05,0.0114420093074185,0.00788017862128647,0.0263859810462665,0.0359344344614369,0.00166011135778613,0.00125095287803213,0.0354010225097291,0.0001140186489253,0.00050609270415429,0.00896531187628758,0.000719521871578436,0
"osd",0.0357254898072758,2.76055263134456e-05,0.00375747141094752,0.0796562038005026,0,0.000692044891618256,0.000609569627141564,4.51023254152637e-05,5.90601170927173e-05,0.00104023802683879,6.22535029189781e-07,0.000997985555502305,0.0842782506101043,0.000420121363873019,0.0352030101927204,0.0173236937753596,-3.96041529301533e-09,0.006826495948458,0.00345030423156776,0.0135997955715163,0.00124190313276457,0.145616686883839,0.00117072783640931,0.00290398224437383,0.00308619502339313,6.61634356004805e-05,0.0862123806811332,0.250128699612823,0.00451293276745722,0,0.165733931811344,0.0102977263237269,0.248201913067826,0.000298386233881912,0.0022666406783016,0.00186867073595417,0.0272172594818431,0.00109221970961115,0.00806456571450263,0.00344539442237546,0.000214346213182291,0.000610717007491108,0.00123179824475494,0.00154878802166028,0.000561874645409196,0.000163442135917143,0.000137789169601255,6.67889783101609e-06,0.000868094673805647,0.000664902651438826,1.09573303554262e-05,2.07473424646552e-05,0.000991311934813459,0.00102466691806247,0.000140660827683552,5.99798032788473e-07,0.00394084233096965,0.000666761545727077,0.000572440476937584,0.000598698550186269,0.0181062048735836,0.00976445081106383,0.00536155415285677,0.00432358422126841,0.000163123853434954,0.00901435625515147,0.000904108953752263,0.00190721840455844,5.08634120453893e-05,-1.22482256390011e-08,2.90899730284774e-05,0.00515152595251887,0.00321250474535368,0.0017706668898027,7.6597338422466e-05,0.0156337839757655,0.00109499388385529,0.00352154490839088,0.000309003798005527,5.21445477397217e-05,0,0.000211197970317975,0.00476857668795009,0.00299166549860702,0.000960656436613927,0.00730317481591417,0.0885129518474918,0.0422900328169486,0.00252830454468332,0.00206932719030631,0.0102518783341047,0.000541563477803992,0.000190553000093586,0.000682315924060344,3.38383242881753e-07,0.000343935228692827,9.50489611714689e-05,0,0.000974785948973582,3.02375617741714e-05,0.000197405775985326,-1.11522551635832e-07,0,0,2.81009108858047e-06,0.0103244305229105,0,0.00307138255104593,-0.000519818409507976,0.00456075735417809,0.00794861159376113,0.00328341274657544,0.00344893350686285,0.00632043230979356,0.00945238713892957,0,0.00685734278453488,0.0040306137060722,0.0433539843245531,0.00458496866828592,0.00221421636363388,0.00987086392625355,0.0152996452574439,0.0115939054212061,0.00887670256213648,0.00270537178021493,0.00159079051597173,0.00308912796414576,-1.304939377307e-06,0.00747796225958487,0.000568478563457603,0.0216420780208179,0.0184573878328319,0.00517789522544521,0.00621185384020042,0.00913070875689123,6.86055915675482e-05,9.76819381554927e-06,0.0187357441586564,9.81587864887332e-05,0
"c_b",0.0039479519207125,0,0.000289679119786657,0.00565236413760058,0,0.000394272152895408,0,0,1.9544294848756e-05,0,0,0.000139409960656651,0.0040864140050521,0.000185857548701596,2.74583699223769e-05,0.00208403663719342,0,0.00817187228950377,0.00163356387161948,0.000709950732406255,0.000375138720716363,0.0174557727499689,0.000159084562604319,0.000811769683390663,8.93200630004564e-05,5.47861993193427e-06,0.000109090611226463,0.00598478917334115,0.00419728418368915,0,0.00234394943768108,0.000983840520010482,0.0909793999000867,0.000150592174502054,0.00261968562570996,0.000592631380474334,0.000912904555698162,0.000863783927233763,7.31567804248822e-05,0.00143725796114542,0.000793765041201151,0.000537943079419347,0.00246773213418537,0.00101144433393115,0.000611346846609536,0.000557941509048577,0.000669093200174998,0.000230778246391482,0.00131044303118449,0.000358143984692998,0,0,0.00525384646483234,0.000321604384123265,0.000413467052036354,0,0.000494959036790728,0.000176467805796692,0,9.27653797541362e-05,0.00294570679472958,0.00282629167327781,4.31992078598904e-05,7.43015984117839e-05,2.67970394715324e-05,0.0003867772848226,0,0.000130256282189478,0,0,0.000460820616160125,0.00122490063096915,3.32507737816456e-06,0.000123216615667496,0,0.000201814828055176,0.000404429440628549,0.000535660602458906,0.000223061972796569,0,0,1.32499746113727e-05,0,0.000852760436391585,0.000159685499162593,9.35569326353717e-05,0.0108891640564978,0.0032133654819639,0.00016840109171123,0.000307797819251671,5.88242130910319e-05,4.79412947389635e-05,0,5.24438202766762e-06,2.3426532199506e-05,3.86354294963586e-05,0,0,0.000342182625940403,0,0,0,1.50253933877276e-08,0,0,0.00139829249452091,0,8.5408794340591e-05,-0.000384385706681932,0.00028770822788511,0,0,2.47222608787913e-06,3.01552347212142e-05,0.00140973749674182,0,4.73458095426611e-05,3.5096089469462e-05,0.000226593613726596,3.09282233762617e-05,0,0.000169856593991793,0.000452481569124867,0.000529608463721853,0.000197229939445111,0.000892418318323511,0.0012175739679712,0.000154595534188057,-0.000110370603930198,0.000303336589461239,4.15280625655419e-05,0.000423534676612686,0.000787946658771321,0.000399260090566799,0.000395475152506498,0.000328869031135073,0,0,0.00399195204932551,0.000639952074084997,0
"pfb",0,6.51572993611714e-05,0,0.000342610261330027,0,4.7445505763587e-09,4.30903930456419e-08,0,1.44323830367649e-06,6.52186850682627e-05,0,1.45922791751717e-06,2.71999423361818e-05,4.86314118952691e-06,1.50990889985454e-05,0.000682350919207163,0,2.11818169315939e-05,9.4337338381024e-05,4.19126841669039e-05,0.00205527684253518,0.00314560411298912,2.66639241966253e-05,8.07253008369268e-07,0,1.02665790888036e-07,0.000216378071854142,0,0.000121222838304638,0,3.51486823696169e-05,0,0.0028257644914098,0.000135418353400567,0.000122289727358444,0.000194674730962074,0,1.75844309456973e-06,0,2.65294938809362e-05,0,1.03040245379384e-05,5.60475446288478e-06,0,5.74046704920539e-05,0,5.38085380575516e-05,0,2.61791295519373e-06,7.79187808991577e-06,0,0,0.00029681652428875,3.54192891917636e-06,7.50235397559815e-05,0,2.53725058291777e-06,0,0,0,0.000463439917282433,0,0,1.16203502861243e-06,0,1.06894340788121e-06,1.06410152319757e-06,1.40617577363641e-07,0,0,1.92047866871953e-05,5.70583453633572e-06,0,4.63015576115701e-07,0,8.98292248704411e-09,0,4.94671624095706e-05,0,0,0,0,2.11570660331975e-07,0.000527362397949234,0,1.14780956936139e-05,0.000582784668150148,1.76305240673863e-05,0,0,0,0,0,6.31437675009108e-07,0,0,0,0,0,0,0,0,0,0,0,7.6138727789296e-08,0,0,-1.46455474394321e-05,1.92633094105489e-05,0,0,0,0,2.3819702531155e-06,0,0,1.25882388832919e-05,5.51846310919355e-06,0,0,1.25398387211491e-05,3.67806905565792e-05,9.7630580933001e-05,0.00292322945963289,0.000330477188639928,0.000286347298946572,3.89849607952493e-06,-2.62935546173798e-07,6.67735455232927e-05,0,0.000416291849980583,3.38901788718848e-08,0,3.80165126288702e-05,0,0,0,9.37020120753532e-05,0,0
"ocr",5.49323276688861e-05,1.622364207884e-05,0.00277657319876487,0.022621525768922,-3.53021488189866e-08,0.000595512265591662,0.00015592689627496,0,5.97254095655461e-05,0.000289332913502587,1.36246237816964e-05,0.00268912332283718,0.0724141222791496,0.000861113708684424,0.00723934999387488,0.00322146037830756,-2.64027686201022e-10,0.0220189010510811,0.0117400676215479,0.00217683664887162,0.000999673304209708,0.0175763118759282,0.000243212665133969,0.000107817138828892,0.00344370242239684,3.47383703350245e-05,0.000225862644003748,0.00141099799195244,0.004947317054612,1.51141859840922e-07,0.00261022547274425,0.000618989124535843,0.0504253381463862,2.70137178020586e-05,0.00720374709183243,0.00371773394504886,0.00184103076729115,0.00668606452931524,7.90001782613196e-05,0.00435011283181117,9.18186250825387e-05,0.00114202470689465,0.00449898772557622,0.00459997865342858,0.00153746521524334,0.000624454190215881,0.00145809835885962,3.23969297350852e-06,0.00439376565737743,0.000333330639803695,0.000463282996672811,5.76962159065831e-05,0.00605787477546097,2.12653822048015e-06,1.71505167969548e-06,7.02261917250264e-09,7.77043598253445e-05,3.74994087317971e-07,2.11986441095927e-07,0,9.5737673382547e-05,0.000150565169070273,7.54524577840143e-05,6.02689222434769e-05,5.39361128292994e-07,0.000142467783036447,0,0.000189463683184695,0,0,1.40768069958499e-06,0.000105557938922211,6.87706292386791e-06,4.77995491813562e-06,3.00753345718685e-05,0.00011613571337375,0,3.27911826905598e-06,6.52679010092139e-06,0,0,2.50424520154944e-05,0.000321270047714104,0,4.34075805623124e-05,0.000295155298542896,0.000176600058059418,0.000145903488925154,2.59710578096708e-05,0.000192089188710099,7.90950921562044e-06,2.85791285380715e-05,3.62690564561076e-07,4.11173629847068e-06,3.99552521402685e-06,1.04936387743157e-05,3.51133255054499e-05,0,9.11177676651183e-05,9.38592112703046e-07,2.85975595381633e-08,-6.66415247579969e-08,7.75310298806743e-08,0,0,0.00103757099560766,-3.60968181339247e-09,0.000421592163861552,-7.75401852113717e-05,0.000159523983782815,0.000108893584951219,5.3264704169656e-05,0.00300322035395876,0.000183920709856171,0.0135698220291548,0,0.0267616457105052,0.00222478084289123,0.0666206967100843,0.000112899698545495,0.00519398543987556,0.00366210762904141,0.00886551421274432,0.0320396136556161,0.0135817065814075,0.00523031691004678,0.0125823578502878,0.00261677811329657,-2.05284493086802e-06,0.0103065322693636,0.00232038651557268,0.0131468137928891,0.0239002691752827,0.00376351030521701,0.0016549602767541,0.0151839700196629,3.76632394322579e-05,0.000597713197002777,0.000518771857551665,0.000114763227701207,0
"ctl",0.172619588044844,0.04926347907606,0.00200784032874009,0.51722908910013,0.000260187367421991,0.0198724917676559,0.00936446227720784,0.023963382761571,0.0016003417326721,0.00135616857579455,3.37238355786675e-05,0.005856198195718,0.04460161954944,0.002938442368644,0.0021751743049734,0.012103349867578,1.9013495e-06,0.009157809439988,0.01346278055785,0.0113641790504102,0.0111609077136347,0.191987894222071,0.010404134964304,0.0788245330042002,0.002331027909832,0.0185103524644173,0.0242350791923856,0.31641700678998,0.08738757685649,2.475811e-06,0.12077882043582,0.04143471400713,0.6713214183041,0.011873762213928,0.11568843608651,0.014663111427918,0.05027370549605,0.017920840393953,0.03607256092856,0.05052286423865,0.00447589892953186,0.009194234649711,0.010288447327877,0.010098053591232,0.01512907498252,0.008767299206778,0.003946015517459,0.00014192781644698,0.006080380484417,0.0008447854821118,0.0006290710695972,3.3592285288266e-05,0.0124320091482247,0.0055063668676712,0.0043479555962842,0.000375097141493172,0.003119884041261,0.00360638533863542,0.0007894108576264,0.00187417788196276,0.0300136115224555,0.028129225667652,0.0057596735822296,0.0024854633255905,0.00956607617410088,0.0188437667226152,0.0015376258312984,0.0021232042105481,0.000312238146355328,3.47621985e-05,0.00929467674552152,0.016938543363212,0.0055747854483952,0.0014292911701522,0.0020426951485719,0.01872741237362,0.00322639572562328,0.0243047061794643,0.00377536491939384,0.00177683609945112,0.0011390630278713,0.00224719588964,0.003810706493673,0.010920482563614,0.0019576174973248,0.013020599120543,0.15847725219055,0.026553933502185,0.0010842986686657,0.00991039040025355,0.05881386288153,0.008153180244955,0.0028458480462761,0.0343480020522683,0.0032112639653603,0.0072467120623009,0.003341909311122,0.000323165768,0.029666705992174,0.00454114692962168,0.001183460095736,0.00071560388364916,0.0011710527992217,0.000216839363250915,0.0060821352909,0.057556544393227,0.00136308909993445,0.0246442453873096,0.0244157583722908,0.01610211201464,0.0047154991603406,0.027548650017155,0.0024879633437515,0.015642999428257,0.008025327930385,0.02852864306424,0.01894842121126,0.01828352200101,0.07575603106225,0.005753607325815,0.002916088452013,0.07056443690751,0.071929694780627,0.11724794854622,0.06617084361896,0.03912391142768,0.13517968609376,0.003952605320024,6.56737775e-05,0.06215569388671,0.0032144859314774,0.05067403013478,0.02590042971686,0.02949495069157,0.0111047442561,0.088434866772139,0.00597148033683854,0.00407478507391086,0.13952412175382,0.010374824396239,0
"oap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
