"2004 DD","2007 DD","2011 DD","2014 DD","2017 DD"
"aus",9741.12909087912,10228.1870492851,11375.765681606,13923.9416457337,14134.238257836
"nzl",1206.24263007182,1317.67702218612,1352.00732255043,1439.60934339886,1605.1674200802
"xoc",313.746718705359,325.697698526697,337.541616326388,387.200562528395,479.80225012844
"chn",33762.0024678674,43457.9471694928,61254.4368272378,76026.5649601866,94234.5315697448
"hkg",1515.51073074596,2120.13057377195,2543.87110783151,2694.7161249874,2863.64948147828
"jpn",51645.2319302538,56399.5914726327,54791.4520286518,57938.6808879199,62194.2928886276
"kor",7639.24633676848,8429.06563826066,11006.7419619997,11229.006721904,11504.2112397465
"mng",52.9959554327866,57.2581370401546,73.3654524632829,107.870730632213,122.953306934287
"twn",4302.55399861499,4297.50273213497,4572.58637376319,4947.9258318381,5834.79671060201
"xea",835.381908001891,732.505739686605,514.98410294817,621.207773561761,571.624514224893
"brn",134.857163838106,129.011412074415,133.442423436397,141.28267030994,141.973364686955
"khm",61.0347607387315,90.7241532953714,123.63502845562,151.1470063139,158.185812555669
"idn",5505.57105429591,6191.97445736706,7794.61084074872,9255.32545096531,10599.2521151164
"lao",40.9691736763497,53.4689434412835,71.8755244060373,86.1739143115271,119.825607404306
"mys",2046.28682222625,2379.52991484641,2625.2514069523,3019.38190524994,3835.84904908131
"phl",1563.69263933457,1679.58752107239,2023.50885213735,2440.49033733366,3007.80308058511
"sgp",1331.12648911897,1851.53519043365,2642.72653888651,2757.94498918252,2922.9906761313
"tha",2689.87734582244,3031.58238383113,3393.57506799022,3683.85416083525,3903.71979898121
"vnm",851.59785488709,964.415021643159,1163.60899227914,1137.26643838977,1340.37510794571
"xse",267.666453075715,356.021968047968,420.965624158585,493.207655324764,626.671367558627
"bgd",893.560737926471,967.162943662335,1306.74973788031,1503.70515192132,1890.79874756955
"ind",10900.7323848871,13874.1581391719,16903.493746979,21214.7250676629,26930.2933060415
"npl",117.149670422986,122.916113272517,164.544775519766,180.287962992305,194.308417733586
"pak",1148.68829214759,1574.3842486178,1796.47215183045,1952.19374424929,2257.33174208082
"lka",355.53543370527,431.225935615805,571.728430293772,658.270810019823,755.569535710789
"xsa",112.461590216788,150.202710009383,191.750166776223,235.791922604868,239.501696943568
"can",14485.720371123,15201.5909494487,15709.048251104,17082.8883612219,18461.9260355128
"usa",136808.333066527,147827.643481669,150216.93634567,155619.903144942,163727.062988582
"mex",9151.49782216297,9847.92735698669,10247.8537599886,11245.578600188,12788.6941925991
"xna",69.6707884826949,70.8933552081839,70.2036195492725,75.8842169224935,78.2655827694711
"arg",3318.48265767211,4339.66281768392,4505.80149818943,4066.65651650336,4281.50055075191
"bol",141.413871731158,175.27791726045,201.531934586247,242.043476126723,255.478910061121
"bra",17414.7609845419,18735.5159411315,21251.1083782265,22096.1857271463,20292.5142255332
"chl",1760.28227339657,1921.88433505924,2165.51232292721,2478.93175501946,2697.36934350499
"col",2140.72731896926,2527.1323781925,2895.12364210039,3235.39784298724,3611.27083685048
"ecu",569.786600160205,604.990985706785,735.14343325421,836.965952264233,903.411626421128
"pry",155.742519058608,166.511694276279,193.33308072444,226.739592078127,349.143136021895
"per",1008.13931319942,1220.6477268171,1534.81040296901,1849.20058168828,1984.47293325013
"ury",307.842930795572,338.836629868167,387.908276355376,424.58114800161,410.987161696806
"ven",3223.20048054115,3920.43598626763,4052.49895256933,5925.71584632886,4015.50156072182
"xsm",108.472082911666,116.53759440797,118.080634247709,121.640500991577,120.751398665932
"cri",277.878751660113,332.415990275946,359.297822978715,402.174914200247,454.325079044113
"gtm",330.799736774467,383.089412740599,420.216796079414,474.852200257207,547.181347120401
"hnd",120.467406358306,156.353552196657,158.944712098693,177.632866236124,200.766696621791
"nic",71.8004079809714,85.0327539114152,87.1172468009106,106.253283456218,120.645648921004
"pan",175.481889744049,225.745904029216,296.438429987495,379.01727430134,438.666817265056
"slv",178.996675468745,208.603700035748,206.83764006981,209.711552100834,200.844061113398
"xca",9.83566397708296,10.8562116718873,12.7766233356827,12.7272951661114,10.4070444880931
"dom",354.913230921922,449.146548617823,521.382482855636,594.079928370887,781.103772315432
"jam",114.920724042182,123.235367685595,120.958640024145,125.546619381266,129.433039517291
"pri",1069.18717185464,1030.57775192146,991.883313775611,971.988702426762,887.676369092134
"tto",153.323553405606,195.562603648363,204.811243528454,247.089931336675,232.128342551654
"xcb",721.018103867453,905.691295957838,1002.74157192443,1001.32726883332,1088.45526166095
"aut",3242.16256722964,3593.11993619211,3727.09865703567,3726.91374638981,4007.35261173396
"bel",3629.09082038762,4048.0381041477,4575.88587991382,4804.37041092955,5017.70737483865
"bgr",386.192475808367,473.76099913447,467.491925234352,500.69031832595,519.347829855647
"hrv",511.516358324737,596.063479389136,548.556217242332,531.956214407046,589.553656205852
"cyp",166.1401662069,221.453485450252,237.636679014877,218.382751282878,258.394234795497
"cze",1744.37378884762,1977.67916672608,1990.29879039461,2077.87593831425,2348.20289512474
"dnk",2781.54082674821,2957.79118362687,2885.24488645573,2909.2642430578,3174.61297286253
"est",171.469483797987,209.615916606988,192.042745167591,209.238433092117,241.566521473324
"fin",2043.36477984875,2354.35409155446,2370.15508402613,2255.09568825027,2392.12899477356
"fra",23209.2578634951,25075.6742809018,25630.6428822055,25730.3165051284,27555.9054888524
