Item.Code,Item,CPCV.1Number,CPC.Description,GTAP.Number,GTAP.Code,GTAP.Description
27,"Rice, paddy",113,"Rice, not husked",1,pdr,"Paddy Rice: rice, husked and unhusked"
15,Wheat,111,Wheat and meslin,2,wht,Wheat: wheat and meslin
44,Barley,115,Barley,3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
56,Maize,112,Maize (corn),3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
71,Rye,116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
75,Oats,116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
79,Millet,116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
83,Sorghum,116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
89,Buckwheat,116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
92,Quinoa,116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
94,Fonio,116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
97,Triticale,116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
101,Canary seed,116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
103,"Grain, mixed",116,"Rye, oats",3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
108,"Cereals, nes",119,Other cereals,3,gro,"Other Grains: maize (corn), barley, rye, oats, other cereals"
116,Potatoes,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
216,"Brazil nuts, with shell",13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
217,"Cashew nuts, with shell",13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
220,Chestnut,13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
221,"Almonds, with shell",13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
222,"Walnuts, with shell",13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
223,Pistachios,13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
224,Kola nuts,13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
225,"Hazelnuts, with shell",13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
226,Areca nuts,13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
234,"Nuts, nes",13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
358,Cabbages and other brassicas,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
366,Artichokes,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
367,Asparagus,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
372,Lettuce and chicory,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
373,Spinach,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
378,Cassava leaves,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
388,Tomatoes,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
393,Cauliflowers and broccoli,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
394,"Pumpkins, squash and gourds",12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
397,Cucumbers and gherkins,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
399,Eggplants (aubergines),12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
401,"Chillies and peppers, green",12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
402,"Onions, shallots, green",12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
403,"Onions, dry",12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
406,Garlic,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
407,"Leeks, other alliaceous vegetables",12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
414,"Beans, green",12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
417,"Peas, green",12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
420,"Vegetables, leguminous nes",12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
423,String beans,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
426,Carrots and turnips,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
430,Okra,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
446,"Maize, green",12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
449,Mushrooms and truffles,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
459,Chicory roots,12,Vegetables,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
461,Carobs,13,Fruit and nuts,4,v_f,"Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
